Name,Age,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,BB/K,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,GB/FB,LD%,GB%,FB%,HR/FB,wOBA,wRAA,wRC,WAR,wRC+,WPA,RE24,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Barrels,Barrel%,EV,LA,HardHit%,maxEV,xBA,xSLG,xwOBA
Cody Bellinger,28,CHC,130,516,569,137,93,23,3,18,72,78,45,7,89,3,5,0,10,9,2,0.266,0.325,0.426,0.751,0.161,0.287,0.079,0.156,0.51,160,199,73,17,2084,712,1372,17,0,0,0.008,0.16899999999999998,0.37,0.461,0.09,0.322,5.3,72,2.1,108,1.34,15.44,0.426,0.33799999999999997,0.23600000000000002,0.174,0.5529999999999999,0.273,27,0.063,87.8,17.4,0.324,109.2,0.242,0.391,0.301
Jake Cronenworth,30,SDP,155,577,656,139,90,29,3,17,72,83,61,0,118,11,3,1,19,5,2,0.241,0.324,0.39,0.714,0.149,0.274,0.09300000000000001,0.18,0.52,200,170,90,11,2755,1030,1725,10,3,2,0.0118,0.196,0.435,0.37,0.1,0.315,2.5,79,2.1,105,1.22,6.31,0.32799999999999996,0.384,0.287,0.166,0.525,0.309,36,0.077,88.6,13.9,0.365,110.9,0.259,0.42,0.335
Logan O'Hoppe,24,LAA,136,479,522,117,79,17,1,20,64,56,33,0,155,8,1,1,7,2,3,0.244,0.303,0.409,0.712,0.165,0.318,0.063,0.297,0.21,123,123,79,10,1985,675,1310,11,1,0,0.01,0.243,0.37799999999999995,0.37799999999999995,0.163,0.311,0.4,61,2.1,101,-0.82,-2.04,0.445,0.33399999999999996,0.221,0.126,0.485,0.39,39,0.12,90.4,15.3,0.46299999999999997,111.6,0.251,0.454,0.331
Shea Langeliers,26,OAK,137,482,534,108,59,18,2,29,58,80,41,2,145,5,6,0,15,4,2,0.224,0.288,0.45,0.739,0.226,0.252,0.077,0.272,0.28,128,151,64,21,1995,702,1293,7,0,0,0.0085,0.187,0.373,0.44,0.192,0.315,2.2,65,2.0,109,-1.06,-2.57,0.466,0.376,0.157,0.175,0.461,0.364,44,0.128,91.3,16.3,0.44,113.7,0.241,0.456,0.328
Randy Arozarena,29,- - -,154,549,648,120,67,33,0,20,77,60,73,0,169,22,4,0,7,20,10,0.219,0.332,0.388,0.72,0.169,0.275,0.113,0.261,0.43,171,157,55,23,2776,1077,1699,18,1,0,0.0109,0.14400000000000002,0.446,0.41,0.127,0.32,5.3,81,2.0,114,-2.24,-5.69,0.47100000000000003,0.326,0.203,0.16699999999999998,0.49200000000000005,0.341,32,0.083,90.4,13.2,0.435,112.1,0.219,0.381,0.324
Jake Meyers,28,HOU,148,461,513,101,65,20,3,13,51,61,35,0,117,10,4,3,17,11,3,0.219,0.286,0.36,0.646,0.141,0.263,0.068,0.228,0.3,147,133,62,12,1819,634,1185,9,9,5,0.0111,0.18100000000000002,0.43,0.389,0.098,0.285,-10.6,49,2.0,85,-1.86,-10.5,0.436,0.348,0.217,0.145,0.556,0.299,24,0.068,88.2,14.4,0.368,110.0,0.235,0.382,0.304
Yandy Diaz,32,TBR,145,563,621,158,112,31,1,14,55,65,50,0,95,4,4,0,12,0,0,0.281,0.341,0.414,0.755,0.133,0.314,0.081,0.153,0.53,258,132,82,20,2461,934,1527,18,0,0,0.0195,0.174,0.547,0.28,0.106,0.331,10.2,83,1.9,120,0.82,9.64,0.292,0.41100000000000003,0.297,0.159,0.48100000000000004,0.36,36,0.076,92.2,5.0,0.485,117.4,0.277,0.423,0.336
CJ Abrams,23,WSN,138,541,602,133,78,29,6,20,79,65,40,3,128,16,4,1,4,31,12,0.246,0.314,0.433,0.747,0.187,0.285,0.066,0.213,0.31,167,174,76,18,2262,745,1517,10,1,0,0.0096,0.182,0.4,0.41700000000000004,0.115,0.322,5.8,76,1.9,107,1.16,3.77,0.469,0.313,0.218,0.177,0.488,0.335,29,0.069,88.2,15.1,0.40399999999999997,110.0,0.247,0.409,0.319
Ryan McMahon,29,COL,153,567,645,137,89,28,0,20,68,65,69,4,185,3,4,0,9,4,6,0.242,0.325,0.397,0.722,0.155,0.32,0.107,0.287,0.37,188,121,75,5,2727,1005,1722,7,2,1,0.0155,0.195,0.49,0.315,0.165,0.315,2.7,78,1.9,89,0.33,-6.44,0.358,0.345,0.298,0.106,0.505,0.389,42,0.10800000000000001,92.1,10.0,0.49,113.0,0.243,0.414,0.325
Gleyber Torres,27,NYY,154,587,665,151,110,26,0,15,80,63,65,0,136,3,8,2,6,4,3,0.257,0.33,0.378,0.709,0.121,0.306,0.098,0.205,0.48,168,185,105,16,2822,1067,1755,9,3,0,0.0091,0.22899999999999998,0.36700000000000005,0.40399999999999997,0.081,0.313,1.3,79,1.8,105,-0.32,3.76,0.341,0.33799999999999997,0.321,0.141,0.59,0.26899999999999996,29,0.063,88.6,15.0,0.354,111.2,0.24,0.368,0.307
Colt Keith,22,DET,148,516,556,134,102,15,4,13,54,61,36,2,110,2,2,0,4,7,1,0.26,0.309,0.38,0.689,0.12,0.306,0.065,0.198,0.33,181,140,87,8,2023,697,1326,18,0,0,0.0129,0.213,0.444,0.34299999999999997,0.09300000000000001,0.301,-4.2,61,1.8,96,-0.12,4.22,0.355,0.377,0.267,0.157,0.564,0.27899999999999997,23,0.055999999999999994,87.9,11.6,0.35,109.4,0.266,0.393,0.311
Bryson Stott,26,PHI,148,506,571,124,92,19,2,11,65,57,53,1,93,3,9,0,9,32,3,0.245,0.315,0.356,0.671,0.111,0.275,0.09300000000000001,0.163,0.57,181,155,84,13,2310,807,1503,17,2,2,0.011699999999999999,0.2,0.431,0.369,0.071,0.296,-6.6,60,1.7,87,0.61,-4.02,0.332,0.365,0.303,0.17300000000000001,0.547,0.28,15,0.036000000000000004,87.1,14.1,0.308,109.8,0.254,0.363,0.306
Sal Frelick,24,MIL,145,475,524,123,95,22,4,2,66,32,39,0,78,4,1,2,8,18,3,0.259,0.32,0.335,0.655,0.076,0.306,0.07400000000000001,0.149,0.5,186,131,73,19,2047,732,1315,13,10,5,0.014199999999999999,0.187,0.47700000000000004,0.336,0.015,0.292,-7.6,54,1.6,87,-1.33,-2.2,0.313,0.418,0.27,0.24,0.578,0.183,3,0.006999999999999999,83.4,9.7,0.19399999999999998,106.6,0.246,0.304,0.278
Vinnie Pasquantino,26,KCR,131,496,554,130,79,30,2,19,64,97,40,1,71,4,13,1,12,1,0,0.262,0.315,0.446,0.76,0.183,0.265,0.07200000000000001,0.128,0.56,173,188,77,19,2136,762,1374,7,1,0,0.0092,0.17600000000000002,0.395,0.429,0.10099999999999999,0.325,6.4,71,1.5,109,1.03,15.39,0.47200000000000003,0.353,0.175,0.146,0.48100000000000004,0.374,31,0.071,91.0,14.6,0.45799999999999996,112.2,0.266,0.438,0.331
Jesus Sanchez,26,MIA,149,489,537,123,79,25,1,18,60,64,41,2,140,4,2,1,12,16,2,0.252,0.313,0.417,0.731,0.166,0.315,0.076,0.261,0.29,176,103,71,10,1993,672,1321,6,1,0,0.0171,0.203,0.503,0.294,0.175,0.317,2.9,66,1.5,101,1.09,-4.11,0.35,0.35,0.299,0.145,0.47,0.385,43,0.122,92.5,7.7,0.509,117.2,0.264,0.468,0.343
Spencer Steer,26,CIN,158,574,656,129,71,34,4,20,74,92,72,1,137,8,2,0,5,25,3,0.225,0.319,0.402,0.721,0.178,0.26,0.11,0.209,0.53,164,194,80,31,2626,993,1633,13,1,0,0.0085,0.183,0.374,0.44299999999999995,0.10300000000000001,0.316,3.3,80,1.5,98,1.56,17.83,0.444,0.317,0.239,0.182,0.485,0.33299999999999996,28,0.064,88.0,17.4,0.39899999999999997,108.0,0.235,0.379,0.315
Jake Burger,28,MIA,137,535,579,134,81,23,1,29,68,76,31,2,150,9,4,0,11,1,1,0.25,0.301,0.46,0.76,0.209,0.292,0.054000000000000006,0.259,0.21,172,158,59,19,2083,676,1407,9,0,0,0.0109,0.152,0.442,0.406,0.184,0.325,7.1,75,1.4,107,0.12,0.82,0.447,0.355,0.198,0.157,0.465,0.37799999999999995,48,0.12300000000000001,91.3,13.0,0.46799999999999997,115.5,0.256,0.476,0.338
Ryan Mountcastle,27,BAL,124,473,507,128,83,30,2,13,54,63,27,0,114,1,6,0,13,3,0,0.271,0.308,0.425,0.733,0.154,0.327,0.053,0.225,0.24,162,124,79,10,1904,601,1303,11,0,0,0.0131,0.21600000000000003,0.444,0.34,0.105,0.316,2.2,61,1.4,107,0.29,1.63,0.27899999999999997,0.386,0.33399999999999996,0.14,0.526,0.33399999999999996,32,0.08800000000000001,90.8,10.4,0.452,113.5,0.272,0.445,0.332
Lane Thomas,28,- - -,130,472,528,112,68,26,3,15,65,63,44,1,137,7,5,0,5,32,14,0.237,0.309,0.4,0.709,0.163,0.298,0.083,0.259,0.32,131,138,71,27,2080,761,1319,13,0,0,0.0095,0.209,0.385,0.406,0.109,0.309,-0.6,61,1.4,99,-0.61,-5.42,0.426,0.32899999999999996,0.244,0.20600000000000002,0.45899999999999996,0.335,25,0.07400000000000001,88.8,17.0,0.406,111.0,0.242,0.377,0.307
Zack Gelof,24,OAK,138,497,547,105,66,20,2,17,60,49,38,0,188,4,5,3,7,25,3,0.211,0.27,0.362,0.632,0.151,0.296,0.069,0.344,0.2,132,118,61,13,2056,695,1361,8,6,1,0.011200000000000002,0.196,0.424,0.379,0.14400000000000002,0.276,-14.9,49,1.4,82,-2.6,-22.17,0.467,0.32799999999999996,0.205,0.10400000000000001,0.612,0.284,28,0.08800000000000001,89.2,14.2,0.37200000000000005,109.1,0.199,0.347,0.271
Jesse Winker,30,- - -,145,430,508,109,72,23,0,14,63,58,63,2,106,10,3,2,12,14,4,0.253,0.36,0.405,0.764,0.151,0.304,0.124,0.209,0.59,146,108,70,13,2064,818,1246,3,5,1,0.013500000000000002,0.21600000000000003,0.451,0.33299999999999996,0.13,0.338,11.3,71,1.3,118,1.98,15.28,0.359,0.35600000000000004,0.28600000000000003,0.201,0.489,0.31,25,0.076,88.6,14.0,0.368,109.2,0.245,0.384,0.329
Leody Taveras,25,TEX,151,480,529,110,78,17,3,12,59,44,42,0,112,0,4,3,8,23,6,0.229,0.289,0.352,0.641,0.123,0.272,0.079,0.212,0.38,147,152,70,16,2009,728,1281,7,6,0,0.0097,0.19,0.39799999999999996,0.41200000000000003,0.079,0.282,-11.9,50,1.2,83,-2.15,-20.2,0.304,0.373,0.32299999999999995,0.17600000000000002,0.539,0.285,22,0.059000000000000004,89.0,14.7,0.349,110.1,0.24,0.368,0.295
Maikel Garcia,24,KCR,157,575,626,133,94,27,5,7,84,58,42,0,103,0,5,4,7,37,2,0.231,0.281,0.332,0.614,0.101,0.268,0.067,0.165,0.41,233,145,95,14,2361,850,1511,9,8,3,0.0161,0.201,0.493,0.307,0.048,0.27,-20.2,53,1.2,70,-2.51,-13.6,0.32799999999999996,0.387,0.285,0.12300000000000001,0.5760000000000001,0.301,18,0.037000000000000005,90.4,6.4,0.426,108.6,0.26,0.366,0.3
Jorge Soler,32,- - -,142,493,574,119,63,34,1,21,84,64,68,0,141,6,4,0,9,1,0,0.241,0.338,0.442,0.78,0.201,0.293,0.11800000000000001,0.24600000000000002,0.48,135,164,57,23,2361,915,1446,6,0,0,0.008199999999999999,0.16,0.379,0.461,0.128,0.34,13.7,81,1.1,120,-0.37,7.72,0.441,0.326,0.233,0.154,0.47200000000000003,0.374,44,0.12300000000000001,90.5,17.9,0.43700000000000006,115.4,0.244,0.447,0.346
Luis Arraez,27,- - -,150,637,672,200,161,32,3,4,83,46,24,3,29,8,1,2,18,9,3,0.314,0.346,0.392,0.739,0.078,0.324,0.036000000000000004,0.043,0.83,252,195,161,11,2418,738,1680,9,3,1,0.0129,0.265,0.414,0.321,0.021,0.323,6.8,85,1.1,109,-0.17,-2.09,0.327,0.375,0.298,0.152,0.619,0.22899999999999998,10,0.016,86.3,13.7,0.231,108.4,0.31,0.4,0.325
Justin Turner,39,- - -,139,460,539,119,84,24,0,11,59,55,59,2,95,13,7,0,16,0,2,0.259,0.354,0.383,0.737,0.124,0.299,0.109,0.17600000000000002,0.62,121,156,95,14,2323,865,1458,7,0,0,0.0078000000000000005,0.255,0.325,0.419,0.071,0.327,7.1,70,1.1,116,0.37,-0.13,0.409,0.344,0.247,0.145,0.562,0.293,17,0.046,87.1,17.8,0.325,106.8,0.252,0.383,0.328
Paul Goldschmidt,36,STL,154,599,654,147,91,33,1,22,70,65,47,2,173,2,2,0,20,11,0,0.245,0.302,0.414,0.716,0.169,0.308,0.07200000000000001,0.265,0.27,184,153,91,11,2720,937,1783,12,0,0,0.012,0.213,0.43,0.35700000000000004,0.14400000000000002,0.31,-0.2,76,1.1,100,-0.43,-9.73,0.414,0.327,0.259,0.11,0.491,0.4,46,0.106,91.2,13.1,0.48100000000000004,111.4,0.255,0.45,0.329
George Springer,34,TOR,145,545,614,120,79,19,3,19,74,56,60,0,115,6,2,0,16,16,1,0.22,0.303,0.371,0.674,0.15,0.245,0.098,0.187,0.52,219,142,71,15,2307,842,1465,12,0,0,0.0154,0.16399999999999998,0.507,0.32899999999999996,0.134,0.298,-5.9,66,1.1,94,-2.0,-13.67,0.39799999999999996,0.373,0.22899999999999998,0.171,0.525,0.303,39,0.09,87.5,9.4,0.37,110.6,0.244,0.402,0.322
Ceddanne Rafaela,23,BOS,152,544,571,134,91,23,5,15,70,75,15,1,151,7,3,2,8,19,10,0.246,0.274,0.39,0.664,0.143,0.312,0.026000000000000002,0.264,0.1,165,145,83,25,2070,564,1506,19,5,1,0.011399999999999999,0.21100000000000002,0.42,0.369,0.10300000000000001,0.286,-11.1,56,0.9,80,-1.47,-11.77,0.41200000000000003,0.344,0.244,0.196,0.55,0.254,30,0.075,86.6,14.9,0.36700000000000005,108.2,0.229,0.368,0.273
Brendan Rodgers,27,COL,135,501,539,134,91,29,1,13,67,54,31,1,132,4,2,1,12,1,0,0.267,0.314,0.407,0.721,0.14,0.338,0.057999999999999996,0.245,0.23,208,95,68,4,2080,723,1357,15,1,0,0.0219,0.183,0.561,0.256,0.13699999999999998,0.314,1.5,65,0.8,87,-0.98,-10.38,0.36,0.414,0.226,0.14,0.57,0.29,21,0.055999999999999994,89.3,4.9,0.43799999999999994,111.1,0.248,0.377,0.295
Orlando Arcia,29,ATL,157,551,602,120,79,24,0,17,50,46,41,1,128,2,7,1,16,2,0,0.218,0.271,0.354,0.625,0.136,0.249,0.068,0.213,0.32,211,154,65,28,2332,837,1495,17,1,0,0.0137,0.151,0.491,0.358,0.11,0.273,-18.2,52,0.8,73,-3.51,-34.68,0.503,0.309,0.188,0.195,0.49200000000000005,0.313,23,0.053,88.2,8.6,0.37799999999999995,107.8,0.206,0.323,0.261
Nolan Schanuel,22,LAA,147,519,607,130,98,19,0,13,62,54,68,0,103,9,7,3,14,10,1,0.25,0.343,0.362,0.706,0.112,0.285,0.11199999999999999,0.17,0.66,194,129,98,5,2357,900,1457,7,5,1,0.015,0.233,0.461,0.306,0.10099999999999999,0.315,2.6,74,0.7,105,-0.8,-1.01,0.40399999999999997,0.376,0.221,0.138,0.615,0.24600000000000002,15,0.035,86.1,10.3,0.253,105.9,0.254,0.355,0.318
Alex Verdugo,28,NYY,149,559,621,130,88,28,1,13,74,61,49,0,93,1,10,2,14,2,1,0.233,0.291,0.356,0.647,0.123,0.253,0.079,0.15,0.53,233,160,80,11,2345,829,1516,11,5,2,0.0146,0.16899999999999998,0.493,0.33799999999999997,0.081,0.283,-13.4,59,0.7,84,-1.37,-24.52,0.37200000000000005,0.34299999999999997,0.285,0.14400000000000002,0.542,0.314,27,0.055999999999999994,88.3,9.9,0.349,110.7,0.25,0.373,0.302
Alec Burleson,25,STL,152,547,595,147,106,20,0,21,71,78,35,0,76,4,6,1,8,9,4,0.269,0.314,0.42,0.735,0.152,0.276,0.059000000000000004,0.128,0.46,198,175,102,20,2118,690,1428,6,3,1,0.0113,0.215,0.41700000000000004,0.368,0.12,0.319,4.0,74,0.6,105,1.62,10.28,0.337,0.397,0.266,0.134,0.5710000000000001,0.295,31,0.065,89.7,13.6,0.41,111.0,0.273,0.435,0.329
Andrew McCutchen,37,PIT,120,448,515,104,65,18,1,20,66,50,58,1,133,7,2,0,9,3,2,0.232,0.328,0.411,0.739,0.179,0.283,0.113,0.258,0.44,130,133,54,17,2165,838,1327,11,0,0,0.0098,0.17,0.41,0.42,0.15,0.325,5.9,66,0.5,105,-0.82,-0.67,0.41600000000000004,0.382,0.20199999999999999,0.18,0.479,0.341,37,0.11699999999999999,88.4,14.3,0.363,109.8,0.227,0.421,0.327
Nick Castellanos,32,PHI,162,606,659,154,97,30,4,23,80,86,41,2,139,10,2,0,14,6,2,0.254,0.311,0.431,0.742,0.177,0.294,0.062,0.21100000000000002,0.29,176,182,111,8,2349,748,1601,8,0,0,0.0097,0.237,0.375,0.38799999999999996,0.126,0.321,5.6,83,0.2,104,-0.79,-1.3,0.386,0.371,0.243,0.128,0.542,0.33,37,0.079,88.3,15.0,0.377,113.1,0.271,0.441,0.333
Rhys Hoskins,31,MIL,131,449,517,96,56,14,0,26,59,82,53,1,149,7,6,0,11,3,0,0.214,0.303,0.419,0.722,0.205,0.25,0.10300000000000001,0.28800000000000003,0.36,104,148,54,20,2244,833,1411,11,0,0,0.006999999999999999,0.17600000000000002,0.34,0.484,0.17600000000000002,0.313,1.4,62,0.2,102,0.91,-1.42,0.546,0.271,0.183,0.17,0.461,0.369,39,0.127,88.7,20.7,0.419,109.6,0.202,0.387,0.301
Josh Bell,31,- - -,145,538,603,134,90,23,2,19,62,71,51,1,120,6,3,0,22,0,1,0.249,0.319,0.405,0.725,0.156,0.286,0.085,0.19899999999999998,0.43,209,139,73,9,2238,860,1378,15,0,0,0.015,0.17300000000000001,0.496,0.33,0.13699999999999998,0.317,3.3,74,-0.1,101,0.37,4.72,0.423,0.321,0.257,0.152,0.525,0.32299999999999995,32,0.075,88.8,10.5,0.397,111.2,0.235,0.391,0.307
Andrew Vaughn,26,CHW,149,570,619,140,90,30,1,19,55,70,38,0,132,6,5,0,13,2,0,0.246,0.297,0.402,0.699,0.156,0.285,0.061,0.213,0.29,169,203,71,31,2338,790,1548,6,0,0,0.0083,0.16,0.381,0.45799999999999996,0.094,0.304,-3.2,69,-0.2,97,-2.11,-10.56,0.35700000000000004,0.386,0.257,0.174,0.494,0.332,41,0.09300000000000001,90.3,16.6,0.431,112.2,0.244,0.44,0.319
Adolis Garcia,31,TEX,154,580,637,130,78,27,0,25,68,85,45,2,177,6,6,0,12,11,5,0.224,0.284,0.4,0.684,0.176,0.273,0.071,0.278,0.25,155,175,79,21,2534,894,1640,11,0,0,0.0089,0.193,0.379,0.428,0.14300000000000002,0.296,-7.4,67,-0.2,93,-1.63,-14.34,0.39899999999999997,0.318,0.284,0.171,0.465,0.364,50,0.122,91.0,15.0,0.479,116.1,0.227,0.413,0.306
Andrew Benintendi,29,CHW,135,477,522,109,69,20,0,20,50,64,41,1,96,1,3,0,12,3,2,0.229,0.289,0.396,0.685,0.168,0.245,0.079,0.184,0.43,147,162,73,12,1997,721,1276,5,2,1,0.0091,0.191,0.385,0.424,0.12300000000000001,0.298,-5.2,56,-0.3,93,-0.21,-9.98,0.445,0.344,0.21100000000000002,0.154,0.539,0.307,24,0.063,88.0,16.1,0.341,109.5,0.243,0.389,0.303
Ty France,29,- - -,140,479,535,112,75,24,0,13,46,51,38,0,114,13,5,0,16,1,1,0.234,0.305,0.365,0.67,0.132,0.277,0.071,0.213,0.33,169,134,67,15,2030,732,1298,11,0,0,0.0126,0.18100000000000002,0.457,0.36200000000000004,0.09699999999999999,0.296,-6.0,57,-0.8,94,-1.42,-16.0,0.359,0.36200000000000004,0.278,0.141,0.573,0.28600000000000003,27,0.073,88.7,12.9,0.397,111.1,0.228,0.387,0.303
Christopher Morel,25,- - -,152,535,611,105,70,11,3,21,56,60,61,3,159,10,5,0,15,8,7,0.196,0.288,0.346,0.634,0.15,0.233,0.1,0.26,0.38,173,153,55,27,2352,896,1456,13,0,0,0.0113,0.14400000000000002,0.45399999999999996,0.402,0.13699999999999998,0.28,-14.6,57,-1.0,81,-2.83,-23.67,0.465,0.365,0.171,0.18600000000000003,0.478,0.336,39,0.102,89.2,14.2,0.40399999999999997,111.4,0.225,0.399,0.316
Bryan De La Cruz,27,- - -,149,584,622,136,90,25,0,21,61,68,29,1,170,3,5,0,10,5,2,0.233,0.271,0.384,0.654,0.151,0.289,0.047,0.273,0.17,172,155,92,8,2395,792,1603,15,0,0,0.0111,0.22,0.41100000000000003,0.37,0.135,0.283,-13.8,59,-1.2,78,-1.29,-11.64,0.42,0.308,0.272,0.126,0.547,0.327,39,0.09300000000000001,89.6,13.1,0.41,110.5,0.242,0.419,0.302
